ID,月,"発生
時間",災害状況,業種(大分類)コード,業種(大分類),業種(中分類)コード,業種(中分類),業種(小分類)コード,業種(小分類),事故の型
164,10,11～12,貨物船の右舷側を岸壁に接岸し左舷側に艀を係留した状況において、揚貨装置（制限荷重２５０トン）を使用し艀から荷（鉄パイプ（径０．２ｍ長さ１２ｍ）９本を１束にしたもの）を４束（総重量１７．９トン）を船倉に積み込む作業中、吊り荷を倉底より高さ約２．８ｍの高さで水平移動させていたところ、船体が大きく右舷側に沈み（約１０度）傾いたため、吊荷が大きく水平に振れ、船倉内壁と荷に作業者３名が挟まれ被災した。,5,貨物取扱業,502,港湾運送業,50202,港湾荷役業,激突され
165,10,11～12,貨物船の右舷側を岸壁に接岸し左舷側に艀を係留した状況において、揚貨装置（制限荷重２５０トン）を使用し艀から荷（鉄パイプ（径０．２ｍ長さ１２ｍ）９本を１束にしたもの）を４束（総重量１７．９トン）を船倉に積み込む作業中、吊り荷を倉底より高さ約２．８ｍの高さで水平移動させていたところ、船体が大きく右舷側に沈み（約１０度）傾いたため、吊荷が大きく水平に振れ、船倉内壁と荷に作業者３名が挟まれ被災した。,5,貨物取扱業,502,港湾運送業,50202,港湾荷役業,激突され
166,10,5～6,新聞配達中に、被災者が路上に止めた軽乗用車（Ａ）の前にいたところ、同車（Ａ）の右側後部に別の車（Ｂ）が追突し、弾みで車（Ａ）が前方に押され、被災者が車（Ａ）と外壁の間にはさまれ、頭部外傷のため死亡した。,8,商業,802,小売業,80205,新聞販売業,交通事故（道路）
167,10,20～21,現場で足場解体作業を終え、２ｔトラックに３人乗車し自動車道を走行中、何らかの原因で車体左側前方がガードレールと接触。一人が死亡、他の二人は車外に投げ出され被災した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,交通事故（道路）
168,10,15～16,自動車整備士である被災者は、同社の整備工場内において、最大積載量１０．５トンのトラックの左後輪部車軸に設置されているディスクローター（ブレーキ部品）を手持ち式グラインダーで研磨する作業を行っていたところ、当該トラックの車底に設置された回転中のプロペラシャフト（エンジンの動力を車軸に伝える部品）に巻き込まれ死亡した。,1,製造業,117,その他の製造業,11701,自動車整備業,はさまれ、巻き込まれ
169,10,15～16,水汚泥分離リサイクル車の修理のため現場へ出張し、同車のタンクを上げて、油漏れ箇所を修理していたところ、突然タンクが下がり、タンクと車体の間に挟まれ、死亡した。,1,製造業,117,その他の製造業,11702,機械修理業,はさまれ、巻き込まれ
170,10,14～15,木造平屋住宅の屋根改修工事現場において、脚立足場（高さ約１．７５ｍ）の上に立ち、充電式インパクトドライバを用いて雨樋固定金具のビス止め作業中、バランスを崩し脚立足場から側の溝（深さ０．７６ｍ）に転落、頚椎を損傷し死亡した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
171,10,15～16,関係請負人の労働者（１次下請）がドラグ・ショベルを使用し、掘削した埋戻土を足元に敷固めるため、後退したところ、後部を通行していた被災者（元請職員）がクローラに接触し轢かれた。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,はさまれ、巻き込まれ
172,10,14～15,被災者は、太陽光パネルの設置工事において、二階建て建物の屋根に上がって作業を行なっていたところ、屋根から約７メートル下のアスファルト舗装された駐車場に墜落した。,3,建設業,303,その他の建設業,30302,機械器具設置工事業,墜落、転落
173,10,12～13,社用車にて、客先へ配達中、雨が降っていて道路の轍に水たまりができており、その上で車がスリップし、右側に滑った後左側に横転した。,8,商業,801,卸売業,80101,各種商品卸売業,交通事故（道路）
174,10,9～10,林道改良工事において路肩の下で型枠の脱着作業を行っていたところ、路肩が崩壊し、土砂に埋もれて死亡した。,3,建設業,301,土木工事業,30106,道路建設工事業,崩壊、倒壊
175,10,8～9,納品した製品に対して、品質クレームが発生し、その取引責任者であった被災者は、リカバリ生産、検査等の業務が急激に増大し、発症前１か月間で概ね１００時間にも及ぶ時間外労働を行い、その結果、精神障害を発病し自殺した。,1,製造業,114,電気機械器具製造業,11409,その他の電気機械器具製造業,その他
176,10,7～8,橋脚の耐震補強工事現場において、現場代理人である被災者が、早朝、現場が始まる前に工事現場の上方に位置する橋の欄干（既設）から現場の状況を確認するため身を乗り出した際、約２１メートル下の地面に墜落した。,3,建設業,301,土木工事業,30105,橋梁建設工事業,墜落、転落
177,10,14～15,清掃員である被災者が車道上の街路樹の落葉を竹箒で掃いていたところ、対向車線よりはみだした一般乗用車に激突され、救急搬送されたものの、頭蓋内損傷により死亡した。,15,清掃・と畜業,1501,清掃・と畜業,150101,ビルメンテナンス業,交通事故（道路）
178,10,8～9,処理場において、最終沈澱池の汚泥掻寄機修理に伴い、最終沈澱池内の清掃作業を行うため、当該沈澱池ピット開口部（縦１１１．５センチ×横１２７センチ）のグレーチング上でシート養生作業を行っていたところ、グレーチングが何らかの原因で外れ、深さ１１メートルの最終沈澱池内に墜落した。被災者は、最終沈澱池内に溜まった深さ１２０センチの汚水内に、うつぶせの状態で発見された。,15,清掃・と畜業,1501,清掃・と畜業,150109,その他の清掃・と畜業,墜落、転落
179,10,9～10,格子型のコンクリートで養生された高さ約１５メートルの法面の雑木除去作業において、雑木除去後の法面の清掃中、地面からの高さ約８メートルの地点で安全帯を外したところ墜落し、地面に頭部を強く打って死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
180,10,9～10,大型トラックで荷を運搬し、帰社する途中のトンネル内（片側１車線の上り線）において、前方を走行中のトラクターに追突、反動で反対車線のトンネル側壁に衝突し、頭部、胸部等を受傷し死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
181,10,9～10,特別養護老人ホームの主に屋外の施設等の管理を行っている被災者が、事業場が保有する畑作業のために被災者の知人から借りたトラクターを返却するため、トンネル内をトラクターで走行中、後ろから走行してきたトラックに追突された。追突された衝撃でトラクターは走行方向左側のトンネル側面に、トラックは右側側面に衝突し、トラクター及びトラックの運転者２名が死亡した。,13,保健衛生業,1302,社会福祉施設,130201,社会福祉施設,交通事故（道路）
182,10,13～14,木造２階建て住宅の新築工事現場において、２階の屋根葺き（野地板釘打ち）作業を行っていた被災者が、足を滑らせ同屋根の端から６．２１ｍ下のアスファルト地面に墜落した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
183,10,18～19,顧客宅に向かう途中、信号のない交差点で出会い頭に衝突し、車外に投げ出され死亡した。,9,金融・広告業,901,金融業,90103,保険業,交通事故（道路）
184,10,13～14,事業場から営業先に向かうため社有車を運転中、一時停止標識のある交差点において、右側から走行してきたダンプトラックと衝突した。,8,商業,804,その他の商業,80409,その他の商業－その他,交通事故（道路）
185,10,13～14,ダム建設用の進入路を整備するために伐採した木を車両系木材伐出機械を用いてダンプトラックに積載する作業において、被災者は車両系木材伐出機械の周辺でチェーンソーを用いて伐採した木の枝切りをしていたところ、後退してきた車両系木材伐出機械に激突され、死亡した。,3,建設業,301,土木工事業,30106,道路建設工事業,激突され
186,10,7～8,会社事務所から乗用車に３名が乗車し、工事現場へ向かう途中、前方車両を追い越した際に車がスリップし、道路左側の路外に逸脱し電柱に衝突した。後部座席に乗っていた被災者が脳挫傷により死亡し、運転手と助手席の２名が負傷した。,3,建設業,302,建築工事業,30209,その他の建築工事業,交通事故（道路）
187,10,11～12,川を下流から上流方向に向かって点検・巡視作業中、川の右岸から左岸へ渡ろうとしたところ、川の流れが急であり、つっかえ棒代わりに使用していた測量用の棒が折れ、身体のバランスを崩し、下流方向に流され溺死した。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,おぼれ
188,10,4～5,被災者は大型トラックで自動車道下り車線（登坂、走行、追越の３車線構造）を走行中、乗用車が事故を起こし走行車線を塞いでいるのを発見した。被災者は事故車の先にある非常駐車帯に自車を停め、救護活動を行う旨会社に連絡し、事故車の所で発煙筒を炊くなど救護活動を行っていたところ、そこに後続の大型トラックが突っ込んできて被災した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
189,10,1～2,段ボールの生産工程で型を使って打ち抜きする機械である『カートンマスター』１号機デリバリ部のリフター（打ち抜かれた製品を機械内部に積み上げ、設定数量になると外へ自動排出するための昇降機）で、被災者が排出側ローラーコンベアから、奥のリフターのところまで入り、何らかの作業をしていた。当該機械の担当者３人のうち１人がブザーを押して運転ボタンを押したところ、リフターが上昇し被災者の頭部が機械底部に挟まれた。,1,製造業,106,パルプ・紙・紙加工品製造業,10602,紙加工品製造業,はさまれ、巻き込まれ
190,10,16～17,被災労働者が、コンクリートミキサー内の清掃中に、注油作業をしようとした別の労働者が当該ミキサーを稼働させたため被災した。,1,製造業,109,土石製品製造業,10901,セメント・同製品製造業,はさまれ、巻き込まれ
191,10,14～15,顆粒機（砂糖を粉砕する食品加工用機械）の清掃中に右腕が同機械に巻き込まれ、被災し死亡した。清掃開始時は原動機を止めて作業していたが、５分ほど清掃し、途中で被災者が自身で電源を入れ清掃作業を再開したため、右腕が巻き込まれた。,1,製造業,101,食料品製造業,10109,その他の食料品製造業,はさまれ、巻き込まれ
192,10,11～12,木造２階建住宅の１階屋根上（幅１１８ｃｍ、勾配５．０度）において、被災者が２階外壁へ下地材の取付作業を行っていたところ、誤って屋根端部から約４ｍ下方のコンクリート地面へ墜落した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
193,10,7～8,作業打ち合わせ前に、現場代理人の被災者が現場状況の確認作業へ向かった後、打ち合わせ場所に戻ってこなかったため当該事業場の作業員が探しに行ったところ、横断管施工箇所の呑口桝に設置した水中ポンプにうつ伏せ状態で倒れている現場代理人を発見した。,3,建設業,301,土木工事業,30106,道路建設工事業,おぼれ
194,10,4～5,アイスクリームを積み込み配送先へ向かう途中、コンビニで買い物をしようと車両を止め、反対側の店舗へ行く為道路を横断中に、走行してきたトラックにはねられた。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
195,10,15～16,学校の職員室における蛍光灯の交換作業を、委託を受けたビルメン事業者の常駐用務員が行っていた際、事務机（高さ０．７ｍ）の上に脚立（長さ１．２ｍ）を載せ、被災者が当該脚立の３段目（床から高さ１．６ｍ）に足を置き天板上に腰を置き交換していたところ、脚立の開き止めをかけずに作業を行っていたことから、脚立が開き被災者が床面に墜落し、頭部打撲した。,15,清掃・と畜業,1501,清掃・と畜業,150101,ビルメンテナンス業,墜落、転落
196,10,15～16,被災者は、２階建て木造新築工事現場の２階梁上で梁を固定する作業を行っていたが、別の場所で２階の梁を固定する作業を行っていた作業者に梁固定用のボルトを持っていくため、２階の火打ち材に足を掛けた。その際に火打ち材が外れたため、バランスを崩して火打ち材とともに約６メートル下のコンクリート土間に墜落した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
197,10,10～11,人家裏の傾斜地でけん引具（チルホール）を使い、胸高直径８３ｃｍの杉の伐倒していたところ、対象木が予定より５０度外側に倒れ、被災者が操作していたチルホールのワイヤロープが急激に引っ張られたために、チルホールを元付していたワイヤーロープ（φ９ｍｍ）が断裂し、その衝撃で引っ張られたチルホールが近くにいた被災者の頭に激突し、広範囲脳挫傷により死亡した。,6,農林業,602,林業,60201,木材伐出業,激突され
198,10,14～15,被災者ら３名は、はしけを用いて沖に係留していた船から、バイオマス発電所に使用する木質チップを移送し、はしけを陸に接岸する作業を行っていた。木質チップを積載したはしけを接岸し、係留ロープの設置等の作業を行っていたところ、はしけに係留されていたタグボートの係留ロープが外れ、無人で流れて行ったため、被災者がタグボートに乗るため、海に飛び込み、タグボートに乗ろうとしたが、おぼれた。,5,貨物取扱業,502,港湾運送業,50209,その他の港湾運送業,おぼれ
199,10,14～15,自動車専用道路の直線対面通行区間において、被災者の運転する乗用車が進行方向左側のガードロープに接触し、その反動で対向車線にはみ出し、対向車線を走行していた乗用車と正面衝突した。,8,商業,801,卸売業,80109,その他の卸売業,交通事故（道路）
200,10,12～13,渋滞で停車中だった被災者が運転する中型トラックに大型トレーラーが追突し、その弾みで中型トラックが前方の大型トラックに衝突したため中型トラックを運転していた被災者が死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
201,10,15～16,工事において、現場で使用する木製トラス（１枚：１１７ｋｇ）１３枚を移動式クレーンを使用して、新築中の建物内部から外部へ同時に移動した際に発生した。１３枚の木製トラスをベルトスリングで２本吊りして、高さ約７ｍまでつり上げた時、片方のベルトスリングが切れ、つり上げられた木製トラスが落下し、地上で指揮をとっていた被災者に当たった。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,飛来、落下
202,10,14～15,盛土の施工範囲内にある支障木の撤去作業を災害発生当日の午後より開始し、被災者が伐倒作業を、同僚２名が伐倒木の引き上げ作業を行っていた。被災者は傾斜地に生えた白樺の木（胸高直径約１５ｃｍ、樹高約１６ｍ）をチェーンソーを用いて伐倒していたところ、突然、木が縦に裂け、元口が跳ね上がり被災者に激突しはね飛ばされ、地面に倒れたところへ、裂けた木が倒れ下敷きとなり被災した。,3,建設業,301,土木工事業,30105,橋梁建設工事業,激突され
203,10,9～10,コンベアピットに溜まっている土砂状の鉄鋼石を、４ｔトラック（荷台上に３ｔ以下の鉄鋼石が積載）にて天日ヤードに運搬し、当該鉄鋼石を深さ３．３５ｍの深さのピット内に投入するため、輪留めがある箇所にダンプトラックを後進して停車しダンプアップを開始した。荷台上に一定量の鉄鋼石が残り、車両後部に重心が移動した際、車両前方が浮き上がり、後輪を軸として１８０度後方へ反転し、車両毎ピット内に転落した。,1,製造業,110,鉄鋼業,11001,製鉄・製鋼・圧延業,墜落、転落
204,10,6～7,当日からの応援で建設工事現場にワンボックスカーで向かっていた労働者が、途上で交通事故により死亡した。被災者の乗車位置は助手席だった。事故は、乗車していたワンボックスカーが高速道路の中央分離帯を越えて反対車線へ飛び出し、横転し、その後大型トラックが当該ワンボックスカーと衝突した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,交通事故（道路）
205,10,13～14,災害発生事業場に設けられている焼却設備の焼却炉内火格子架台の補修作業を請負事業場の労働者が溶接による修繕作業をしゃがみ込む姿勢で行っていたところ、約２５ｍ上部にある放熱ダンパーの耐火材の一部約２０Ｋｇの塊が肌落ちし、被災者の約２ｍ上方に設けられた飛来落下物防止用の敷設養生材、９枚の鋼製布板（養生面積約２．５ｍ×３．０ｍ）の一枚を突き破り、被災者の後頭部から肩口にかけて当たったことにより死亡した。,1,製造業,113,機械器具製造業,11301,機械（精密機械を除く）器具製造業,飛来、落下
206,10,16～17,被災者は担当する熱処理炉を巡視中、稼働中の２号炉が突然爆発し、熱風を浴び、首から上がⅡ度、首から下がⅢ度の火傷を負った。,1,製造業,109,土石製品製造業,10904,耐火物製造業,爆発
207,10,15～16,工場新築棟の屋根上で防水シートの敷設作業を行っていた被災者が、ルーフファン取付予定箇所に係る開口部から地上に墜落し、死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
208,10,7～8,午前６時から、被災者らは船の中間検査のための入渠作業に従事していたところ、午前７時前に一旦入渠のために開けたゲートが船の方に近づいてきたため、被災者がゲートを調整するロープを固定し直しに行き引っ張ったところ、結びつけるピットが折れ曲がり、その勢いで後ろに倒れた際側にあった岩に後頭部を打ちつけ脳挫傷により死亡した。,1,製造業,115,輸送用機械等製造業,11501,造船業,動作の反動、無理な動作
209,10,15～16,２階建て木造住宅の屋根板金葺き替え工事において、トタンの仮設置を終えたところで雨が降り出したため、当日の作業を中止しようと、道具を片付けていたところ、屋根上で足を滑らせ２階屋根軒先から墜落。一旦玄関屋根に墜落し、アスファルト地面に墜落し、頭部を強打して死亡した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
210,10,8～9,被災者は４階フラットデッキ上で配筋作業を行うための準備中、フラットデッキ上を歩いていたところ、フラットデッキにあらかじめ取り付けてあったインサートの突起につまずき、その衝撃でフラットデッキが梁からずり落ち、フラットデッキとともに４．５５ｍ下の３階床に墜落し、コンクリート床に激突して死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
211,10,11～12,国道の改良に伴うずい道新設工事。工事の支障となる廃線となった鉄道のずい道（新設ずい道と坑口が隣接）を閉塞する作業を行っていた。坑口に木製型枠を組立て、大型土嚢（５段：２列～３列）を置き、ずい道内部にコンクリートを流し込んでいたところ、ずい道の縁と型枠の隙間からコンクリートが漏れ出てきたため、大型土嚢の上で隙間に布等を詰めていた時、型枠とともに大型土嚢が崩壊し、墜落した際大型土嚢の下敷きとなった。,3,建設業,301,土木工事業,30102,トンネル建設工事業,崩壊、倒壊
212,10,9～10,立木を伐採していたところ、かかり木となってしまったので、引き倒すためチルホール等を取りに行ったところ、かかり木が落下し、被災者に激突した。,6,農林業,602,林業,60201,木材伐出業,崩壊、倒壊
213,10,18～19,１９時３０分に夜勤の労働者が現場に到着した際、被災者の姿が見えないため付近を捜索したところ、車を駐車している箇所からおよそ９ｍ下方のがけ下で倒れている被災者を発見した。,17,その他の事業,1702,その他の事業,170201,警備業,墜落、転落
214,10,17～18,除草作業を行う現場において、乗用の草刈機（重量１．５ｔ）を運転していた被災者が、終業時刻になっても集合場所に戻ってこないため、同僚が河川敷で停止していた草刈機のところまで見に行ったところ、当該機械のエンジンがかかったままの状態で、当該機械の下から、倒れていた被災者を発見した。,3,建設業,301,土木工事業,30199,その他の土木工事業,はさまれ、巻き込まれ
215,10,15～16,リフォーム営業販売職である被災者が、顧客宅から次の顧客宅へ向かって、社用車（軽自動車）にて走行中、対向車と正面衝突した。,8,商業,802,小売業,80209,その他の小売業,交通事故（道路）
216,10,16～17,被災者は、森林の皆伐作業に従事していた。樹高約２４メートル、胸高直径６９センチメートルの杉の木を伐倒していたところ、伐倒木に激突され、死亡した。,6,農林業,602,林業,60201,木材伐出業,激突され
217,10,11～12,マンションの耐震補強工事において、南面外部足場１４層目で解体作業を行っていた被災者が約２２．６メートル下の歩道上に墜落し、当日死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
218,10,11～12,調査ボーリング工事において、ボーリング調査に使用していたスキッド型ボーリングマシンのシリンダー部チェックバルブから油漏れが発生したため、被災者１人で修理をしていたところ、ガイドセルが降下し、ガイドセルとベース架台の間に頭部と右肩部を挟まれた。,3,建設業,301,土木工事業,30101,水力発電所等建設工事業,はさまれ、巻き込まれ
219,10,4～5,被災者は、原動機付自転車（カブ）で新聞を配達中、対向車の乗用車がセンターラインをはみ出し、はねられて死亡した。,8,商業,802,小売業,80205,新聞販売業,交通事故（道路）
220,10,15～16,ロープとブランコを用いて５階建て（高さ２０ｍ）のオフィスビルの窓の清掃を行っていたところ、メインロープを緊結した構造物（配管ラック）が滑動してメインロープが外れ墜落し死亡した。,15,清掃・と畜業,1501,清掃・と畜業,150101,ビルメンテナンス業,墜落、転落
221,10,22～23,高速道路上り線において、７人が乗るワゴン車が走行車線から右へ車線変更する際にハンドル操作を誤り、道路左側ののり面に乗り上げ柵に衝突した。（単独事故）後部座席（３列シートの２列目）に乗車していた労働者が車外に投げ出され頭を強く打ち搬送先の病院で死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
222,10,9～10,踏切で、受託先（地主）に米を配送するため軽トラックを運転し踏切を横断中、普通列車と衝突し、被災した。,6,農林業,601,農業,60101,農業,交通事故（道路）
223,10,11～12,被災者は、施設入居者の買い物に同行中、押しボタン式横断歩道が青になり入居者と共に横断していたところ、北側から来た信号無視の軽自動車に衝突され、病院へ搬送されたが亡くなった。,13,保健衛生業,1302,社会福祉施設,130201,社会福祉施設,交通事故（道路）
224,10,9～10,つり上げ荷重３トンの天井クレーンの月例定期自主検査において、走行試験を行うため、２次下請の被災者と１次下請の作業指揮者がクレーンガータ上に、別の２次下請の操作者が地上にいて、作業指揮者が操作者に合図をしてクレーンを走行したところ、被災者が天井梁とガータ手すりの間に挟まれた。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,はさまれ、巻き込まれ
225,10,17～18,野外支援車（以下、トラック）修理作業において、トランスミッションを取り外すためにトラックの前方を工場据付けのジャッキ、後方を可搬式ジャッキにて持ち上げ、トランスミッションを外してトラック脇に置き、トラックを下ろそうとしたところ、何らかの理由により後方の可搬式ジャッキが下りたため、リアバンパーと床面との間にいた被災者が挟まれ、胸部圧迫等により死亡した。,1,製造業,117,その他の製造業,11701,自動車整備業,はさまれ、巻き込まれ
226,10,17～18,スレート屋根の補修等の作業を行うため、同屋根上で作業を行っていた被災者が、スレートを踏み抜き、約５メートル下のコンクリート製床面に墜落した。,3,建設業,302,建築工事業,30209,その他の建築工事業,墜落、転落
227,10,9～10,木造１階建新築工事において、玄関の組立作業を行うにあたり、脚立に歩み板（幅１８センチ、２枚重ねで厚さ合計９センチ）を敷いた作業床（高さ１．６７メートル）上で、クレーンで吊った玄関ポーチ材を固定するため支えていた被災者が作業床から墜落した。,3,建設業,302,建築工事業,30202,木造家屋建築工事業,墜落、転落
228,10,21～22,被災者は、最大荷重１トンのラックフォークを運転し、パレットに段ボール箱（約２００Ｋｇ）を積んで、１階から３階にある倉庫のラックに移動する作業を行っていた。３階Ｆ区画のラックに荷を納めるため、ラック間を後進したところ、高さ３．５ｃｍの車止めを乗り越え、高さ１．６５ｍの車止め用のバー（金属製）とラックフォークとの間に身体が挟まれた。,8,商業,804,その他の商業,80401,倉庫業,はさまれ、巻き込まれ
229,10,3～4,自動車道を走行中、所属のトラックが、センターラインを超えて反対車線にはみ出し、本事業場のトラックと正面衝突し、本事業場の運転手２名及び他の事業場所属の労働者１名が死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
230,10,3～4,自動車道を走行中、所属のトラックが、センターラインを超えて反対車線にはみ出し、本事業場のトラックと正面衝突し、本事業場の運転手２名及び他の事業場所属の労働者１名が死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
231,10,3～4,自動車道を走行中、センターラインを超えて反対車線にはみ出し、トラックと正面衝突し、本事業場の運転手１名及び他の事業場所属の労働者２名が死亡した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
232,10,8～9,被災者は、公民館解体工事現場で、地下埋設燃料タンクを撤去するため、解体用重機を運転して約５ｍ下に移動していた。運転していた解体用重機が移動中の法面を滑り落ちる状態で、約５ｍ下の地面に激突し、重機が横転した。被災者は、病院搬送後、死亡した。,3,建設業,302,建築工事業,30201,鉄骨・鉄筋コンクリート造家屋建築工事業,墜落、転落
233,10,23～24,橋梁架設工事に使用したつり足場の解体で、朝顔（パネル２枚を上下に接合し、単管とクランプで固定したもの）を取り外し、橋桁上に設置した移動式クレーンで吊り上げる作業中、上部パネル上端部へ玉掛した後にクランプを外す作業手順であったが、玉掛する前にクランプを外してしまったため上部パネルが下部パネルとの接合部を支点にして外側に倒れ、上部パネル部で作業をしていた被災者が約２０ｍ下の地上に墜落した。,3,建設業,301,土木工事業,30105,橋梁建設工事業,墜落、転落
234,10,12～13,昼休み休憩中に、当該事業場施設内の４階から自席のある３階へ階段を使用して移動中、４、５段目付近から、３階床まで墜落し、頭部を負傷。外傷性脳内血腫により、発生から１１日後に死亡した。,17,その他の事業,1702,その他の事業,170209,その他の事業－その他,墜落、転落
235,10,9～10,ガラスを積載したガラス運搬用のパレット２基（ガラスを含んだ合計重量約１．２ｔ）を天井クレーンで吊り上げていたところ、ワイヤーロープで玉掛けしていたパレットの枠が外れ、パレットとガラスが床に落下して倒れた。当該クレーンを操作していた被災者が、倒れたパレットの下敷きになって死亡した。,8,商業,801,卸売業,80109,その他の卸売業,飛来、落下
236,10,22～23,被災者は片側交互通行の舗装補修工事区間の東端に立ち、西進車に徐行を促す誘導を行っていた。誤って西進しようとした軽トラックと誘導通り東進してきた自動車が衝突しそうになり、回避行動を取った西進中の軽トラックが被災者と接触、跳ねられた被災者は大動脈破裂により、搬送先の病院にて翌日死亡した。,17,その他の事業,1702,その他の事業,170201,警備業,交通事故（道路）
237,10,7～8,被災者は、個人農場で大根をトレーラーに積み込み、トラックを運転中、右カーブを曲がりきれずにガードロープを超えて約１０メートル下の沢に転落した。,4,運輸交通業,403,道路貨物運送業,40301,一般貨物自動車運送業,交通事故（道路）
238,10,2～3,深夜高速バスのドライバー２名が運行中に車輌故障が発生したため、幅３ｍ程度の路側帯に大型バスを停車し、後方に三角板を置いて車外で故障箇所の確認を行っていたところ、後方からトラックに追突され、衝撃で動いたバスと道路側壁の間に挟まれて死亡した。,4,運輸交通業,402,道路旅客運送業,40202,バス業,交通事故（道路）
239,10,2～3,深夜高速バスのドライバー２名が運行中に車輌故障が発生したため、幅３ｍ程度の路側帯に大型バスを停車し、後方に三角板を置いて車外で故障箇所の確認を行っていたところ、後方からトラックに追突され、衝撃で動いたバスと道路側壁の間に挟まれて死亡した。,4,運輸交通業,402,道路旅客運送業,40202,バス業,交通事故（道路）
240,10,23～24,被災者は２１時頃に事業場から帰宅し、２２時頃に就寝した。２３時頃、胸が突然痛み、息ができない状態となったため、家族が救急車を呼び、被災者は病院に搬送されたが、その後致死性不整脈により死亡した。,8,商業,802,小売業,80209,その他の小売業,その他
241,9,16～17,陶芸工場内において、フォークリフトのフォークの上に乗って、高さ４メートルの梁に固定されたブルーシートを外す作業をしていたところ、約２メートルの高さから床に墜落して頭を強打した。,1,製造業,113,機械器具製造業,11301,機械（精密機械を除く）器具製造業,墜落、転落
242,9,11～12,港から２キロ沖合でシラス漁を終え、網を海中から引き上げる為に船上のネットローラーを被災者が駆動させていたところ、巻き上げたワイヤロープとネットローラーのドラムの間に全身が巻き込まれた。,7,畜産・水産業,702,水産業,70201,漁業,はさまれ、巻き込まれ
243,9,0～1,勤務途中から行方不明となっていた被災者がスキー場Ｃリフトの支柱の下に倒れて死亡しているのが発見された。,14,接客娯楽業,1403,その他の接客娯楽業,140309,その他の接客娯楽業－その他,墜落、転落
244,9,15～16,被災者は、工場内にある破砕機の清掃を行うため、破砕機投入口のコンベアの開口部から機械内に入ったが、稼働していた破砕機の羽根に巻き込まれて死亡した。,1,製造業,108,化学工業,10805,プラスチック製品製造業,はさまれ、巻き込まれ
245,9,10～11,林道脇の法面上部の伐採作業のため、被災者が法面上部を移動していたところ、約５ｍ（目測）の高さから道路上に墜落して死亡した。,3,建設業,301,土木工事業,30199,その他の土木工事業,墜落、転落
246,9,15～16,事業場の玄関天井にできた蜘蛛の巣を除去していた被災労働者が、後進してきた同僚が運転する社有車（普通自動車）に激突された。,13,保健衛生業,1302,社会福祉施設,130201,社会福祉施設,激突され
247,9,10～11,被災者はレース出馬前の馬を、厩舎内の洗い場で、単独で手入れをしていたが、馬が暴れる音を聞いた同僚が、洗い場に行ったところ、うつぶせで倒れている被災者が発見された。発見直後、病院に搬送されたが、死亡した。,14,接客娯楽業,1403,その他の接客娯楽業,140309,その他の接客娯楽業－その他,激突され
248,9,0～1,ドラグショベルにより林道を開設する作業に従事していたところ、何らかの理由により路肩が崩壊し、ドラグショベルごと転落し死亡した。,3,建設業,301,土木工事業,30199,その他の土木工事業,墜落、転落
249,9,18～19,鉄塔の避雷針取替工事において、地上から３１ｍ５０ｃｍの高さにある梁上で、被災者が避雷針取替作業を行っていたところ、梁間の開口部から４ｍ１８ｃｍ下のグレーチング製のステージ上に墜落し、死亡した。,3,建設業,303,その他の建設業,30301,電気通信工事業,墜落、転落
